Info,Info,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,C1,C1,C1,C2,C2,C2,C3,C3,C3,C4,C4,C4,C5,C5,C5,C6,C6,C6,C7,C7,C7,C8,C8,C8
Number,Time,PX,PY,PZ,PX,PY,PZ,PX,PY,PZ,PX,PY,PZ,PX,PY,PZ,PX,PY,PZ,PX,PY,PZ,PX,PY,PZ
35,0.29166666666666674,-816.4965809277261,0.0,805.5450691896267,-5.551115123125783e-14,0.0,228.19480000000092,408.248290463863,707.1067811865476,805.5450691896268,-408.248290463863,707.1067811865476,1382.8953383792523,-408.248290463863,-707.1067811865476,1382.895338379252,408.248290463863,-707.1067811865476,805.5450691896267,816.4965809277261,0.0,1382.8953383792523,5.551115123125783e-14,0.0,1960.245607568878
36,0.3000000000000001,-816.4965809277261,0.0,783.3352291896263,-5.551115123125783e-14,0.0,205.98496000000054,408.248290463863,707.1067811865476,783.3352291896264,-408.248290463863,707.1067811865476,1360.685498379252,-408.248290463863,-707.1067811865476,1360.6854983792518,408.248290463863,-707.1067811865476,783.3352291896263,816.4965809277261,0.0,1360.685498379252,5.551115123125783e-14,0.0,1938.0357675688776
37,0.30833333333333346,-816.4965809277261,0.0,760.4975491896259,-5.551115123125783e-14,0.0,183.14728000000025,408.248290463863,707.1067811865476,760.497549189626,-408.248290463863,707.1067811865476,1337.8478183792517,-408.248290463863,-707.1067811865476,1337.8478183792515,408.248290463863,-707.1067811865476,760.4975491896259,816.4965809277261,0.0,1337.8478183792517,5.551115123125783e-14,0.0,1915.1980875688773
38,0.3166666666666668,-816.4965809277261,0.0,737.0320291896257,-5.551115123125783e-14,0.0,159.68176,408.248290463863,707.1067811865476,737.0320291896259,-408.248290463863,707.1067811865476,1314.3822983792516,-408.248290463863,-707.1067811865476,1314.3822983792513,408.248290463863,-707.1067811865476,737.0320291896257,816.4965809277261,0.0,1314.3822983792516,5.551115123125783e-14,0.0,1891.7325675688771
39,0.3250000000000002,-816.4965809277261,0.0,712.9386691896256,-5.551115123125783e-14,0.0,135.58839999999984,408.248290463863,707.1067811865476,712.9386691896257,-408.248290463863,707.1067811865476,1290.2889383792512,-408.248290463863,-707.1067811865476,1290.288938379251,408.248290463863,-707.1067811865476,712.9386691896256,816.4965809277261,0.0,1290.2889383792512,5.551115123125783e-14,0.0,1867.639207568877
40,0.33333333333333354,-816.4965809277261,0.0,688.2174691896255,-5.551115123125783e-14,0.0,110.86719999999973,408.248290463863,707.1067811865476,688.2174691896256,-408.248290463863,707.1067811865476,1265.5677383792513,-408.248290463863,-707.1067811865476,1265.567738379251,408.248290463863,-707.1067811865476,688.2174691896255,816.4965809277261,0.0,1265.5677383792513,5.551115123125783e-14,0.0,1842.9180075688769
41,0.3416666666666669,-816.4965809277261,0.0,662.8684291896254,-5.551115123125783e-14,0.0,85.51815999999968,408.248290463863,707.1067811865476,662.8684291896255,-408.248290463863,707.1067811865476,1240.2186983792512,-408.248290463863,-707.1067811865476,1240.218698379251,408.248290463863,-707.1067811865476,662.8684291896254,816.4965809277261,0.0,1240.2186983792512,5.551115123125783e-14,0.0,1817.5689675688768
42,0.35000000000000026,-816.4965809277261,0.0,636.8915491896254,-5.551115123125783e-14,0.0,59.541279999999695,408.248290463863,707.1067811865476,636.8915491896255,-408.248290463863,707.1067811865476,1214.241818379251,-408.248290463863,-707.1067811865476,1214.2418183792508,408.248290463863,-707.1067811865476,636.8915491896254,816.4965809277261,0.0,1214.241818379251,5.551115123125783e-14,0.0,1791.5920875688769
43,0.3583333333333336,-816.4965809277261,0.0,610.2868291896256,-5.551115123125783e-14,0.0,32.93655999999978,408.248290463863,707.1067811865476,610.2868291896257,-408.248290463863,707.1067811865476,1187.6370983792513,-408.248290463863,-707.1067811865476,1187.637098379251,408.248290463863,-707.1067811865476,610.2868291896256,816.4965809277261,0.0,1187.6370983792513,5.551115123125783e-14,0.0,1764.987367568877
44,0.366666666666667,-816.4965809277261,0.0,583.0542691896253,-5.551115123125783e-14,0.0,5.703999999999598,408.248290463863,707.1067811865476,583.0542691896254,-408.248290463863,707.1067811865476,1160.404538379251,-408.248290463863,-707.1067811865476,1160.4045383792509,408.248290463863,-707.1067811865476,583.0542691896252,816.4965809277261,0.0,1160.404538379251,5.551115123125783e-14,0.0,1737.754807568877
45,0.37500000000000033,-816.4965809277261,2.3411495837353905e-30,563.1335175991886,-4.2672922706822136e-14,2.3411495837353905e-30,-14.216751590437116,408.248290463863,707.1067811865476,563.1335175991887,-408.248290463863,707.1067811865476,1140.4837867888145,-408.248290463863,-707.1067811865476,1140.4837867888143,408.248290463863,-707.1067811865476,563.1335175991885,816.4965809277261,2.3411495837353905e-30,1140.4837867888143,6.834937975569352e-14,2.3411495837353905e-30,1717.83405597844
46,0.3833333333333337,-816.4965809277261,8.907180493811221e-30,556.9218138009153,-6.652276988284694e-15,8.907180493811221e-30,-20.42845538871041,408.24829046386304,707.1067811865476,556.9218138009154,-408.24829046386293,707.1067811865476,1134.272082990541,-408.24829046386293,-707.1067811865476,1134.2720829905409,408.24829046386304,-707.1067811865476,556.9218138009153,816.4965809277261,8.907180493811221e-30,1134.272082990541,1.0437002547423096e-13,8.907180493811221e-30,1711.6223521801667
47,0.39166666666666705,-816.496580927726,1.7475038172173622e-29,556.8827967951202,4.036466384871443e-14,1.7475038172173622e-29,-20.467472394505528,408.2482904638631,707.1067811865476,556.8827967951203,-408.2482904638629,707.1067811865476,1134.233065984746,-408.2482904638629,-707.1067811865476,1134.2330659847457,408.2482904638631,-707.1067811865476,556.8827967951202,816.4965809277262,1.7475038172173622e-29,1134.233065984746,1.513869663112301e-13,1.7475038172173622e-29,1711.5833351743718
48,0.4000000000000004,-816.496580927726,2.6949022199584283e-29,559.2948697929822,9.236016355364535e-14,2.6949022199584283e-29,-18.055399396643466,408.2482904638631,707.1067811865476,559.2948697929824,-408.2482904638628,707.1067811865476,1136.645138982608,-408.2482904638628,-707.1067811865476,1136.6451389826077,408.2482904638631,-707.1067811865476,559.2948697929822,816.4965809277262,2.6949022199584283e-29,1136.645138982608,2.03382466016161e-13,2.6949022199584283e-29,1713.9954081722337
49,0.40833333333333377,-816.4965809277259,3.680878816781836e-29,562.3913056798013,1.4647746509284438e-13,3.680878816781836e-29,-14.958963509824397,408.24829046386316,707.1067811865476,562.3913056798015,-408.24829046386276,707.1067811865476,1139.741574869427,-408.24829046386276,-707.1067811865476,1139.741574869427,408.24829046386316,-707.1067811865476,562.3913056798013,816.4965809277262,3.680878816781836e-29,1139.741574869427,2.5749976755536003e-13,3.680878816781836e-29,1717.0918440590528
50,0.41666666666666713,-816.4965809277259,4.6826294491581047e-29,565.3904366512636,2.0145262963875735e-13,4.6826294491581047e-29,-11.95983253836208,408.2482904638632,707.1067811865476,565.3904366512637,-408.2482904638627,707.1067811865476,1142.7407058408894,-408.2482904638627,-707.1067811865476,1142.7407058408892,408.2482904638632,-707.1067811865476,565.3904366512636,816.4965809277262,4.6826294491581047e-29,1142.7407058408894,3.12474932101273e-13,4.6826294491581047e-29,1720.0909750305152
51,0.4250000000000005,-816.4965809277257,5.691573332831682e-29,567.9940424549302,2.5680344191509913e-13,5.691573332831682e-29,-9.356226734695493,408.24829046386327,707.1067811865476,567.9940424549303,-408.24829046386265,707.1067811865476,1145.344311644556,-408.24829046386265,-707.1067811865476,1145.3443116445558,408.24829046386327,-707.1067811865476,567.9940424549301,816.4965809277263,5.691573332831682e-29,1145.344311644556,3.678257443776148e-13,5.691573332831682e-29,1722.6945808341818
52,0.43333333333333385,-816.4965809277257,6.710375996468129e-29,570.1310040873242,3.125129995601826e-13,6.710375996468129e-29,-7.219265102301531,408.2482904638633,707.1067811865476,570.1310040873243,-408.2482904638626,707.1067811865476,1147.4812732769499,-408.2482904638626,-707.1067811865476,1147.4812732769499,408.2482904638633,-707.1067811865476,570.1310040873242,816.4965809277263,6.710375996468129e-29,1147.4812732769499,4.2353530202269827e-13,6.710375996468129e-29,1724.8315424665757
53,0.4416666666666672,-816.4965809277256,7.72185191428099e-29,571.8286751732171,3.6857509593257004e-13,7.72185191428099e-29,-5.521594016408615,408.2482904638634,707.1067811865476,571.8286751732172,-408.24829046386253,707.1067811865476,1149.178944362843,-408.24829046386253,-707.1067811865476,1149.1789443628427,408.2482904638634,-707.1067811865476,571.8286751732171,816.4965809277264,7.72185191428099e-29,1149.178944362843,4.795973983950856e-13,7.72185191428099e-29,1726.5292135524685
54,0.45000000000000057,-816.4965809277256,8.725847922839739e-29,573.1501817372132,4.2479296777731047e-13,8.725847922839739e-29,-4.200087452412515,408.24829046386344,707.1067811865476,573.1501817372133,-408.2482904638625,707.1067811865476,1150.500450926839,-408.2482904638625,-707.1067811865476,1150.5004509268388,408.24829046386344,-707.1067811865476,573.1501817372131,816.4965809277264,8.725847922839739e-29,1150.500450926839,5.358152702398261e-13,8.725847922839739e-29,1727.8507201164648
